,trialID,is_done,blockID,obs,obs_next,reward,tot_t,t,stage,action,rewardplanet,transition,randomplanet,highstate,p_ambiguity,p_trans,p_reward_low,p_reward_high
29,30,True,1,2.0,1.0,1.0,30,0,1,1,[0. 0.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
0,1,False,1,1.0,1.0,0.0,1,0,1,0,[0. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
1,2,False,1,1.0,2.0,0.0,2,0,1,1,[0. 1.],[2 2],,0,0.0,[0.7 0.7],0.4,0.6
2,3,False,1,2.0,2.0,1.0,3,0,1,1,[0. 1.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
3,4,False,1,2.0,2.0,1.0,4,0,1,1,[1. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
4,5,False,1,2.0,2.0,0.0,5,0,1,1,[1. 1.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
5,6,False,1,2.0,2.0,1.0,6,0,1,1,[0. 0.],[1 1],,0,0.0,[0.7 0.7],0.4,0.6
6,7,False,1,2.0,1.0,0.0,7,0,1,1,[0. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
7,8,False,1,1.0,2.0,0.0,8,0,1,1,[1. 0.],[1 1],,0,0.0,[0.7 0.7],0.4,0.6
8,9,False,1,2.0,1.0,1.0,9,0,1,1,[0. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
9,10,False,1,1.0,2.0,0.0,10,0,1,1,[0. 1.],[2 1],,0,0.0,[0.7 0.7],0.4,0.6
10,11,False,1,2.0,1.0,0.0,11,0,1,1,[1. 0.],[1 1],,0,0.0,[0.7 0.7],0.4,0.6
11,12,False,1,1.0,1.0,1.0,12,0,1,1,[1. 1.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
12,13,False,1,1.0,2.0,1.0,13,0,1,1,[1. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
13,14,False,1,2.0,2.0,0.0,14,0,1,1,[1. 1.],[1 1],,0,0.0,[0.7 0.7],0.4,0.6
14,15,False,1,2.0,1.0,1.0,15,0,1,0,[0. 1.],[2 2],,0,0.0,[0.7 0.7],0.4,0.6
15,16,False,1,1.0,2.0,1.0,16,0,1,0,[0. 1.],[2 1],,0,0.0,[0.7 0.7],0.4,0.6
16,17,False,1,2.0,2.0,1.0,17,0,1,0,[1. 0.],[2 2],,0,0.0,[0.7 0.7],0.4,0.6
17,18,False,1,2.0,2.0,0.0,18,0,1,1,[1. 1.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
18,19,False,1,2.0,2.0,1.0,19,0,1,1,[1. 1.],[1 1],,0,0.0,[0.7 0.7],0.4,0.6
19,20,False,1,2.0,1.0,1.0,20,0,1,1,[1. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
20,21,False,1,1.0,2.0,0.0,21,0,1,1,[1. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
21,22,False,1,2.0,1.0,1.0,22,0,1,0,[1. 1.],[2 2],,0,0.0,[0.7 0.7],0.4,0.6
22,23,False,1,1.0,2.0,1.0,23,0,1,0,[1. 1.],[1 1],,0,0.0,[0.7 0.7],0.4,0.6
23,24,False,1,2.0,1.0,1.0,24,0,1,1,[1. 1.],[2 1],,0,0.0,[0.7 0.7],0.4,0.6
24,25,False,1,1.0,2.0,1.0,25,0,1,0,[1. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
25,26,False,1,2.0,1.0,1.0,26,0,1,0,[0. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
26,27,False,1,1.0,1.0,0.0,27,0,1,0,[0. 0.],[1 1],,0,0.0,[0.7 0.7],0.4,0.6
27,28,False,1,1.0,1.0,0.0,28,0,1,0,[1. 0.],[1 1],,0,0.0,[0.7 0.7],0.4,0.6
28,29,False,1,1.0,1.0,1.0,29,0,1,1,[1. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
29,30,True,1,1.0,1.0,1.0,30,0,1,0,[0. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
0,1,False,1,1.0,1.0,0.0,1,0,1,0,[0. 0.],[2 2],,1,0.0,[0.7 0.7],0.4,0.6
1,2,False,1,1.0,2.0,0.0,2,0,1,1,[0. 1.],[2 2],,1,0.0,[0.7 0.7],0.4,0.6
2,3,False,1,2.0,2.0,1.0,3,0,1,1,[1. 1.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
3,4,False,1,2.0,1.0,1.0,4,0,1,1,[0. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
4,5,False,1,1.0,2.0,0.0,5,0,1,1,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
5,6,False,1,2.0,1.0,1.0,6,0,1,0,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
6,7,False,1,1.0,1.0,0.0,7,0,1,0,[0. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
7,8,False,1,1.0,1.0,0.0,8,0,1,0,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
8,9,False,1,1.0,2.0,1.0,9,0,1,1,[1. 1.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
9,10,False,1,2.0,1.0,1.0,10,0,1,1,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
10,11,False,1,1.0,2.0,1.0,11,0,1,1,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
11,12,False,1,2.0,2.0,1.0,12,0,1,1,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
12,13,False,1,2.0,2.0,1.0,13,0,1,1,[0. 0.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
13,14,False,1,2.0,1.0,0.0,14,0,1,1,[0. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
14,15,False,1,1.0,2.0,0.0,15,0,1,1,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
15,16,False,1,2.0,2.0,1.0,16,0,1,1,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
16,17,False,1,2.0,2.0,1.0,17,0,1,1,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
17,18,False,1,2.0,2.0,1.0,18,0,1,1,[1. 1.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
18,19,False,1,2.0,1.0,1.0,19,0,1,1,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
19,20,False,1,1.0,2.0,1.0,20,0,1,1,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
20,21,False,1,2.0,2.0,1.0,21,0,1,1,[1. 1.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
21,22,False,1,2.0,1.0,1.0,22,0,1,1,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
22,23,False,1,1.0,2.0,1.0,23,0,1,1,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
23,24,False,1,2.0,2.0,1.0,24,0,1,1,[1. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
24,25,False,1,2.0,2.0,0.0,25,0,1,1,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
25,26,False,1,2.0,2.0,1.0,26,0,1,1,[0. 0.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
26,27,False,1,2.0,1.0,0.0,27,0,1,1,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
27,28,False,1,1.0,2.0,1.0,28,0,1,1,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
28,29,False,1,2.0,2.0,1.0,29,0,1,1,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
29,30,True,1,2.0,2.0,1.0,30,0,1,1,[1. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
0,1,False,1,2.0,1.0,1.0,1,0,1,0,[1. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
1,2,False,1,1.0,1.0,1.0,2,0,1,0,[0. 1.],[1 1],,0,0.0,[0.7 0.7],0.4,0.6
2,3,False,1,1.0,1.0,0.0,3,0,1,0,[0. 1.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
3,4,False,1,1.0,1.0,0.0,4,0,1,0,[0. 0.],[1 1],,0,0.0,[0.7 0.7],0.4,0.6
4,5,False,1,1.0,1.0,0.0,5,0,1,1,[1. 1.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
5,6,False,1,1.0,2.0,1.0,6,0,1,1,[1. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
6,7,False,1,2.0,2.0,0.0,7,0,1,1,[0. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
7,8,False,1,2.0,2.0,0.0,8,0,1,1,[0. 1.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
8,9,False,1,2.0,1.0,0.0,9,0,1,0,[1. 1.],[2 1],,0,0.0,[0.7 0.7],0.4,0.6
9,10,False,1,1.0,1.0,1.0,10,0,1,1,[1. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
10,11,False,1,1.0,2.0,0.0,11,0,1,1,[0. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
11,12,False,1,2.0,1.0,0.0,12,0,1,0,[1. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
12,13,False,1,1.0,2.0,0.0,13,0,1,1,[0. 1.],[2 1],,0,0.0,[0.7 0.7],0.4,0.6
13,14,False,1,2.0,2.0,1.0,14,0,1,0,[1. 1.],[2 2],,0,0.0,[0.7 0.7],0.4,0.6
14,15,False,1,2.0,2.0,1.0,15,0,1,1,[0. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
15,16,False,1,2.0,2.0,0.0,16,0,1,1,[1. 0.],[1 1],,0,0.0,[0.7 0.7],0.4,0.6
16,17,False,1,2.0,1.0,1.0,17,0,1,0,[0. 1.],[2 2],,0,0.0,[0.7 0.7],0.4,0.6
17,18,False,1,1.0,2.0,1.0,18,0,1,0,[1. 1.],[1 1],,0,0.0,[0.7 0.7],0.4,0.6
18,19,False,1,2.0,1.0,1.0,19,0,1,1,[1. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
19,20,False,1,1.0,1.0,1.0,20,0,1,0,[0. 1.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
20,21,False,1,1.0,1.0,0.0,21,0,1,0,[1. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
21,22,False,1,1.0,2.0,0.0,22,0,1,1,[1. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
22,23,False,1,2.0,1.0,1.0,23,0,1,0,[0. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
23,24,False,1,1.0,1.0,0.0,24,0,1,0,[1. 0.],[1 1],,0,0.0,[0.7 0.7],0.4,0.6
24,25,False,1,1.0,1.0,1.0,25,0,1,0,[1. 0.],[1 1],,0,0.0,[0.7 0.7],0.4,0.6
25,26,False,1,1.0,1.0,1.0,26,0,1,0,[1. 1.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
26,27,False,1,1.0,1.0,1.0,27,0,1,0,[0. 1.],[2 2],,0,0.0,[0.7 0.7],0.4,0.6
27,28,False,1,1.0,2.0,1.0,28,0,1,0,[0. 1.],[2 2],,0,0.0,[0.7 0.7],0.4,0.6
28,29,False,1,2.0,2.0,1.0,29,0,1,0,[1. 1.],[2 2],,0,0.0,[0.7 0.7],0.4,0.6
29,30,True,1,2.0,2.0,1.0,30,0,1,1,[1. 0.],[1 2],,0,0.0,[0.7 0.7],0.4,0.6
0,1,False,1,2.0,1.0,1.0,1,0,1,0,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
1,2,False,1,1.0,1.0,0.0,2,0,1,0,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
2,3,False,1,1.0,2.0,1.0,3,0,1,1,[0. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
3,4,False,1,2.0,2.0,0.0,4,0,1,1,[0. 1.],[2 2],,1,0.0,[0.7 0.7],0.4,0.6
4,5,False,1,2.0,2.0,1.0,5,0,1,0,[1. 0.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
5,6,False,1,2.0,1.0,1.0,6,0,1,1,[0. 1.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
6,7,False,1,1.0,1.0,0.0,7,0,1,0,[1. 0.],[2 2],,1,0.0,[0.7 0.7],0.4,0.6
7,8,False,1,1.0,2.0,0.0,8,0,1,1,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
8,9,False,1,2.0,2.0,1.0,9,0,1,1,[1. 1.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
9,10,False,1,2.0,1.0,1.0,10,0,1,1,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
10,11,False,1,1.0,1.0,0.0,11,0,1,0,[0. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
11,12,False,1,1.0,2.0,0.0,12,0,1,1,[0. 1.],[2 2],,1,0.0,[0.7 0.7],0.4,0.6
12,13,False,1,2.0,2.0,1.0,13,0,1,0,[1. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
13,14,False,1,2.0,2.0,0.0,14,0,1,1,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
14,15,False,1,2.0,2.0,1.0,15,0,1,1,[0. 1.],[2 2],,1,0.0,[0.7 0.7],0.4,0.6
15,16,False,1,2.0,2.0,1.0,16,0,1,1,[0. 0.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
16,17,False,1,2.0,1.0,0.0,17,0,1,1,[0. 1.],[2 2],,1,0.0,[0.7 0.7],0.4,0.6
17,18,False,1,1.0,2.0,1.0,18,0,1,1,[0. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
18,19,False,1,2.0,2.0,0.0,19,0,1,1,[1. 0.],[2 2],,1,0.0,[0.7 0.7],0.4,0.6
19,20,False,1,2.0,2.0,0.0,20,0,1,1,[0. 1.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
20,21,False,1,2.0,1.0,0.0,21,0,1,1,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
21,22,False,1,1.0,2.0,1.0,22,0,1,1,[0. 1.],[2 2],,1,0.0,[0.7 0.7],0.4,0.6
22,23,False,1,2.0,2.0,1.0,23,0,1,1,[0. 1.],[2 1],,1,0.0,[0.7 0.7],0.4,0.6
23,24,False,1,2.0,1.0,0.0,24,0,1,1,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
24,25,False,1,1.0,2.0,1.0,25,0,1,1,[1. 0.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
25,26,False,1,2.0,1.0,1.0,26,0,1,1,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
26,27,False,1,1.0,2.0,1.0,27,0,1,1,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
27,28,False,1,2.0,2.0,1.0,28,0,1,1,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
28,29,False,1,2.0,2.0,1.0,29,0,1,1,[0. 1.],[2 1],,1,0.0,[0.7 0.7],0.4,0.6
29,30,True,1,2.0,1.0,0.0,30,0,1,1,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
0,1,False,1,1.0,2.0,0.0,1,0,1,0,[0. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
1,2,False,1,2.0,1.0,0.0,2,0,1,1,[0. 0.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
2,3,False,1,1.0,1.0,0.0,3,0,1,1,[0. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
3,4,False,1,1.0,2.0,1.0,4,0,1,0,[1. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
4,5,False,1,2.0,2.0,1.0,5,0,1,0,[0. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
5,6,False,1,2.0,2.0,1.0,6,0,1,0,[1. 0.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
6,7,False,1,2.0,2.0,0.0,7,0,1,0,[1. 0.],[1 1],,1,0.0,[0.3 0.3],0.4,0.6
7,8,False,1,2.0,1.0,1.0,8,0,1,0,[0. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
8,9,False,1,1.0,2.0,1.0,9,0,1,0,[1. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
9,10,False,1,2.0,2.0,1.0,10,0,1,0,[0. 0.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
10,11,False,1,2.0,2.0,0.0,11,0,1,0,[0. 0.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
11,12,False,1,2.0,2.0,0.0,12,0,1,0,[1. 1.],[2 2],,1,0.0,[0.3 0.3],0.4,0.6
12,13,False,1,2.0,2.0,1.0,13,0,1,1,[0. 1.],[1 1],,1,0.0,[0.3 0.3],0.4,0.6
13,14,False,1,2.0,1.0,0.0,14,0,1,0,[1. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
14,15,False,1,1.0,2.0,1.0,15,0,1,0,[1. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
15,16,False,1,2.0,2.0,1.0,16,0,1,0,[0. 1.],[2 2],,1,0.0,[0.3 0.3],0.4,0.6
16,17,False,1,2.0,2.0,1.0,17,0,1,0,[0. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
17,18,False,1,2.0,2.0,1.0,18,0,1,0,[1. 0.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
18,19,False,1,2.0,2.0,0.0,19,0,1,0,[0. 1.],[1 2],,1,0.0,[0.3 0.3],0.4,0.6
19,20,False,1,2.0,1.0,0.0,20,0,1,0,[0. 0.],[2 2],,1,0.0,[0.3 0.3],0.4,0.6
20,21,False,1,1.0,2.0,0.0,21,0,1,0,[0. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
21,22,False,1,2.0,2.0,1.0,22,0,1,0,[1. 0.],[1 1],,1,0.0,[0.3 0.3],0.4,0.6
22,23,False,1,2.0,1.0,1.0,23,0,1,0,[0. 1.],[1 1],,1,0.0,[0.3 0.3],0.4,0.6
23,24,False,1,1.0,1.0,0.0,24,0,1,0,[1. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
24,25,False,1,1.0,2.0,1.0,25,0,1,0,[0. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
25,26,False,1,2.0,2.0,1.0,26,0,1,0,[0. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
26,27,False,1,2.0,2.0,1.0,27,0,1,0,[1. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
27,28,False,1,2.0,2.0,1.0,28,0,1,0,[1. 1.],[1 1],,1,0.0,[0.3 0.3],0.4,0.6
28,29,False,1,2.0,1.0,1.0,29,0,1,0,[1. 1.],[1 2],,1,0.0,[0.3 0.3],0.4,0.6
29,30,True,1,1.0,1.0,1.0,30,0,1,0,[0. 1.],[2 1],,1,0.0,[0.3 0.3],0.4,0.6
0,1,False,1,1.0,1.0,1.0,1,0,1,0,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
1,2,False,1,1.0,1.0,1.0,2,0,1,0,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
2,3,False,1,1.0,1.0,1.0,3,0,1,0,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
3,4,False,1,1.0,1.0,0.0,4,0,1,0,[0. 0.],[2 2],,1,0.0,[0.7 0.7],0.4,0.6
4,5,False,1,1.0,2.0,0.0,5,0,1,0,[1. 0.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
5,6,False,1,2.0,1.0,1.0,6,0,1,0,[1. 1.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
6,7,False,1,1.0,1.0,1.0,7,0,1,0,[0. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
7,8,False,1,1.0,1.0,0.0,8,0,1,0,[1. 0.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
8,9,False,1,1.0,1.0,1.0,9,0,1,0,[0. 1.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
9,10,False,1,1.0,1.0,0.0,10,0,1,0,[0. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
10,11,False,1,1.0,1.0,0.0,11,0,1,0,[0. 0.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
11,12,False,1,1.0,1.0,0.0,12,0,1,0,[0. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
12,13,False,1,1.0,2.0,1.0,13,0,1,1,[0. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
13,14,False,1,2.0,2.0,0.0,14,0,1,1,[0. 0.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
14,15,False,1,2.0,1.0,0.0,15,0,1,1,[1. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
15,16,False,1,1.0,2.0,0.0,16,0,1,1,[0. 1.],[2 2],,1,0.0,[0.7 0.7],0.4,0.6
16,17,False,1,2.0,2.0,1.0,17,0,1,1,[0. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
17,18,False,1,2.0,2.0,0.0,18,0,1,1,[1. 0.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
18,19,False,1,2.0,1.0,1.0,19,0,1,0,[1. 1.],[2 2],,1,0.0,[0.7 0.7],0.4,0.6
19,20,False,1,1.0,2.0,1.0,20,0,1,0,[0. 0.],[2 2],,1,0.0,[0.7 0.7],0.4,0.6
20,21,False,1,2.0,2.0,0.0,21,0,1,1,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
21,22,False,1,2.0,1.0,1.0,22,0,1,0,[0. 1.],[2 1],,1,0.0,[0.7 0.7],0.4,0.6
22,23,False,1,1.0,2.0,1.0,23,0,1,0,[1. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
23,24,False,1,2.0,2.0,0.0,24,0,1,1,[1. 1.],[2 1],,1,0.0,[0.7 0.7],0.4,0.6
24,25,False,1,2.0,2.0,1.0,25,0,1,0,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
25,26,False,1,2.0,2.0,1.0,26,0,1,1,[1. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
26,27,False,1,2.0,2.0,0.0,27,0,1,1,[0. 0.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
27,28,False,1,2.0,2.0,0.0,28,0,1,1,[1. 1.],[1 2],,1,0.0,[0.7 0.7],0.4,0.6
28,29,False,1,2.0,1.0,1.0,29,0,1,0,[1. 1.],[1 1],,1,0.0,[0.7 0.7],0.4,0.6
29,30,True,1,1.0,1.0,1.0,30,0,1,0,[0. 0.],[2 2],,1,0.0,[0.7 0.7],0.4,0.6
0,1,False,1,1.0,2.0,0.0,1,0,1,0,[0. 0.],[2 2],,0,0.0,[0.3 0.3],0.4,0.6
1,2,False,1,2.0,2.0,0.0,2,0,1,1,[0. 0.],[2 2],,0,0.0,[0.3 0.3],0.4,0.6
2,3,False,1,2.0,2.0,0.0,3,0,1,1,[1. 1.],[1 2],,0,0.0,[0.3 0.3],0.4,0.6
3,4,False,1,2.0,2.0,1.0,4,0,1,1,[1. 0.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
4,5,False,1,2.0,2.0,0.0,5,0,1,0,[1. 0.],[2 2],,0,0.0,[0.3 0.3],0.4,0.6
5,6,False,1,2.0,2.0,0.0,6,0,1,0,[1. 1.],[1 1],,0,0.0,[0.3 0.3],0.4,0.6
6,7,False,1,2.0,1.0,1.0,7,0,1,1,[0. 0.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
7,8,False,1,1.0,2.0,0.0,8,0,1,0,[0. 0.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
8,9,False,1,2.0,2.0,0.0,9,0,1,0,[0. 1.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
9,10,False,1,2.0,2.0,1.0,10,0,1,0,[0. 1.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
10,11,False,1,2.0,2.0,1.0,11,0,1,0,[1. 0.],[1 1],,0,0.0,[0.3 0.3],0.4,0.6
11,12,False,1,2.0,1.0,1.0,12,0,1,0,[1. 0.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
12,13,False,1,1.0,2.0,0.0,13,0,1,0,[0. 0.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
13,14,False,1,2.0,2.0,0.0,14,0,1,0,[0. 0.],[1 2],,0,0.0,[0.3 0.3],0.4,0.6
14,15,False,1,2.0,1.0,0.0,15,0,1,0,[0. 0.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
15,16,False,1,1.0,2.0,0.0,16,0,1,0,[0. 1.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
16,17,False,1,2.0,2.0,1.0,17,0,1,0,[1. 1.],[1 1],,0,0.0,[0.3 0.3],0.4,0.6
17,18,False,1,2.0,1.0,1.0,18,0,1,0,[0. 0.],[1 1],,0,0.0,[0.3 0.3],0.4,0.6
18,19,False,1,1.0,1.0,0.0,19,0,1,0,[1. 0.],[2 2],,0,0.0,[0.3 0.3],0.4,0.6
19,20,False,1,1.0,2.0,0.0,20,0,1,0,[1. 1.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
20,21,False,1,2.0,2.0,1.0,21,0,1,0,[1. 1.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
21,22,False,1,2.0,2.0,1.0,22,0,1,0,[1. 0.],[1 1],,0,0.0,[0.3 0.3],0.4,0.6
22,23,False,1,2.0,1.0,1.0,23,0,1,0,[1. 0.],[2 2],,0,0.0,[0.3 0.3],0.4,0.6
23,24,False,1,1.0,2.0,0.0,24,0,1,0,[1. 0.],[1 1],,0,0.0,[0.3 0.3],0.4,0.6
24,25,False,1,2.0,1.0,1.0,25,0,1,0,[0. 0.],[2 2],,0,0.0,[0.3 0.3],0.4,0.6
25,26,False,1,1.0,2.0,0.0,26,0,1,1,[0. 0.],[2 2],,0,0.0,[0.3 0.3],0.4,0.6
26,27,False,1,2.0,2.0,0.0,27,0,1,1,[1. 1.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
27,28,False,1,2.0,2.0,1.0,28,0,1,0,[1. 1.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
28,29,False,1,2.0,2.0,1.0,29,0,1,0,[1. 1.],[2 2],,0,0.0,[0.3 0.3],0.4,0.6
29,30,True,1,2.0,2.0,1.0,30,0,1,0,[0. 1.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
0,1,False,1,2.0,2.0,0.0,1,0,1,0,[0. 0.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
1,2,False,1,2.0,1.0,0.0,2,0,1,1,[1. 0.],[1 1],,0,0.0,[0.3 0.3],0.4,0.6
2,3,False,1,1.0,1.0,1.0,3,0,1,1,[1. 1.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
3,4,False,1,1.0,1.0,1.0,4,0,1,1,[1. 0.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
4,5,False,1,1.0,1.0,1.0,5,0,1,1,[1. 0.],[2 1],,0,0.0,[0.3 0.3],0.4,0.6
5,6,False,1,1.0,1.0,1.0,6,0,1,1,[1. 0.],[1 1],,0,0.0,[0.3 0.3],0.4,0.6
